product_name,brand,category,model_number,price,product_url,image_url
GT2 ドライバー,Titleist,driver,GT2,68400,https://www.titleist.co.jp/product/gt2-driver/667C-J.html,
DARKSPEED MAX ドライバー,Cobra,driver,DARKSPEED MAX,86900,https://www.cobragolf.com/ja-jp/products/darkspeed-max-driver,
ZX7 Mk II ドライバー,Srixon,driver,ZX7 Mk II,81400,https://sports.dunlop.co.jp/golf/products/clublibrary/wood/zx7mk2_w.html,
JPX 925 フォージド アイアン,Mizuno,iron,JPX 925 Forged,145000,https://jpn.mizuno.com/golf/jpx925,
ゼクシオ13 アイアン,XXIO,iron,XXIO13,148500,https://sports.dunlop.co.jp/golf/products/iron/xx13_i.html,
ツアーワールド TW777 PCB MAX アイアン,Honma,iron,TW777 PCB MAX,154000,https://honmagolf-ec.com/club/iron/tw777pcb,
ボーケイ SM10 ウェッジ,Titleist,wedge,Vokey SM10,24200,https://page.titleist.co.jp/mediacenter/news-release/golfclubs/240123.html,
Glide 4.0 ウェッジ,PING,wedge,Glide 4.0,27500,https://clubping.jp/product/product2022_glide40.html,
Spider Tour パター,TaylorMade,putter,Spider Tour,45000,https://www.taylormadegolf.jp/taylormade-spider/?lang=ja_JP,
PLD MILLED ANSER パター,PING,putter,PLD Milled Anser,66000,https://www.clubping.jp/product/product2022_pld.html,
クロムソフト ボール 1ダース,Callaway,ball,Chrome Soft,6800,https://www.callawaygolf.jp/golf/balls/chrome-soft,
Z-STAR ボール 1ダース,Srixon,ball,Z-STAR,6930,https://sports.dunlop.co.jp/golf/products/ball/snzs9.html,
